country,age_group_lb,national_nMx,Q1 poorest,Q2,Q3,Q4,Q5 richest
South Africa,25,0.003886,0.004935,0.004344,0.003823,0.003365,0.002962
South Africa,30,0.005081,0.006542,0.005713,0.004989,0.004357,0.003805
South Africa,35,0.006267,0.007934,0.006996,0.006168,0.005439,0.004796
South Africa,40,0.007916,0.009784,0.008746,0.007818,0.006988,0.006246
South Africa,45,0.010440,0.012864,0.011518,0.010314,0.009235,0.008269
South Africa,50,0.013911,0.017279,0.015402,0.013729,0.012237,0.010907
South Africa,55,0.019477,0.024296,0.021605,0.019212,0.017084,0.015191
South Africa,60,0.026810,0.032854,0.029508,0.026504,0.023805,0.021381
South Africa,65,0.037619,0.044791,0.040878,0.037307,0.034048,0.031073
South Africa,70,0.051479,0.059339,0.055119,0.051200,0.047559,0.044177
South Africa,75,0.071015,0.078920,0.074754,0.070807,0.067068,0.063527
South Africa,80,0.096530,0.103926,0.100089,0.096393,0.092834,0.089406
South Africa,85,0.132927,0.138959,0.135875,0.132860,0.129911,0.127028
South Africa,90,0.183462,0.187654,0.185534,0.183438,0.181366,0.179317
South Africa,95,0.250343,0.252281,0.251308,0.250339,0.249373,0.248412
South Africa,100,0.339950,0.339950,0.339950,0.339950,0.339950,0.339950
