indicator,country,year,slope,ratio,q1,q2,q3,q4,q5
TFR,Turkey,2013,-0.8757358143928967,1.9411764705882353,3.3,2.6,2.3,1.7,1.7
TFR,Turkmenistan,2000,-0.531058123299364,1.6190476190476188,3.4,3.2,3.0,2.9,2.1
TFR,Uganda,2024,-0.6192673896367838,1.6857142857142857,5.9,5.1,4.6,4.2,3.5
TFR,Ukraine,2007,-0.714490641124829,1.7,1.7,1.3,1.3,0.9,1.0
TFR,Uzbekistan,1996,-0.7657381854821934,2.0,4.4,3.7,3.2,3.2,2.2
TFR,Yemen,2013,-0.909930911099704,2.103448275862069,6.1,5.3,4.5,3.8,2.9
TFR,Zambia,2024,-0.9600863931196594,2.1538461538461537,5.6,5.0,4.3,3.4,2.6
TFR,Zimbabwe,2015,-0.9877490531204037,2.3333333333333335,5.6,4.9,4.5,3.7,2.4
U5MR,Afghanistan,2015,-0.8190984258761753,2.025,81.0,64.0,71.0,51.0,40.0
U5MR,Albania,2008,-0.746019709108397,2.6153846153846154,34.0,13.0,24.0,20.0,13.0
U5MR,Angola,2023,-1.0797025536268452,2.111111111111111,57.0,70.0,52.0,36.0,27.0
U5MR,Armenia,2016,-1.3540251005511048,3.0,15.0,15.0,10.0,9.0,5.0
U5MR,Azerbaijan,2006,-0.6219855701399383,1.5365853658536586,63.0,72.0,60.0,49.0,41.0
U5MR,Bangladesh,2022,-0.8894611612336868,1.9285714285714286,54.0,43.0,38.0,27.0,28.0
U5MR,Benin,2017,-0.6805629535898178,1.8,108.0,124.0,106.0,103.0,60.0
U5MR,Bolivia,2008,-1.6324559365034215,3.7419354838709675,116.0,86.0,68.0,46.0,31.0
U5MR,Brazil,1996,-1.463369701033519,3.0,99.0,56.0,39.0,27.0,33.0
U5MR,Burkina Faso,2021,-0.7157946807541195,1.8611111111111112,67.0,58.0,61.0,48.0,36.0
U5MR,Burundi,2016,-0.9793545468213861,2.2884615384615383,119.0,88.0,76.0,65.0,52.0
U5MR,Cambodia,2021,-1.3577151541999153,4.0,28.0,17.0,25.0,18.0,7.0
U5MR,Cameroon,2018,-1.0204424572557873,2.2653061224489797,111.0,111.0,85.0,74.0,49.0
U5MR,Central African Republic,1994,-0.7771481396068962,1.969387755102041,193.0,183.0,158.0,150.0,98.0
